login,password,email,display_name,groups,subadmin_groups,quota,manager
t23,Leti2026!!,t23@etu.ru,Teacher 23,teachers,,10 GB,th3
t24,Leti2026!!,t24@etu.ru,Teacher 24,teachers,,10 GB,th3
t25,Leti2026!!,t25@etu.ru,Teacher 25,teachers,,10 GB,th3
t26,Leti2026!!,t26@etu.ru,Teacher 26,teachers,,10 GB,th3
t27,Leti2026!!,t27@etu.ru,Teacher 27,teachers,,10 GB,th3
t28,Leti2026!!,t28@etu.ru,Teacher 28,teachers,,10 GB,th3
t29,Leti2026!!,t29@etu.ru,Teacher 29,teachers,,10 GB,th3
t30,Leti2026!!,t30@etu.ru,Teacher 30,teachers,,10 GB,th3
t31,Leti2026!!,t31@etu.ru,Teacher 31,teachers,,10 GB,th4
t32,Leti2026!!,t32@etu.ru,Teacher 32,teachers,,10 GB,th4
t33,Leti2026!!,t33@etu.ru,Teacher 33,teachers,,10 GB,th4
t34,Leti2026!!,t34@etu.ru,Teacher 34,teachers,,10 GB,th4
t35,Leti2026!!,t35@etu.ru,Teacher 35,teachers,,10 GB,th4
t36,Leti2026!!,t36@etu.ru,Teacher 36,teachers,,10 GB,th4
t37,Leti2026!!,t37@etu.ru,Teacher 37,teachers,,10 GB,th4
t38,Leti2026!!,t38@etu.ru,Teacher 38,teachers,,10 GB,th4
t39,Leti2026!!,t39@etu.ru,Teacher 39,teachers,,10 GB,th4
t40,Leti2026!!,t40@etu.ru,Teacher 40,teachers,,10 GB,th4
t41,Leti2026!!,t41@etu.ru,Teacher 41,teachers,,10 GB,th4
t42,Leti2026!!,t42@etu.ru,Teacher 42,teachers,,10 GB,th4
s001,Leti2026!!,s001@stud.etu.ru,Student 001,"students,5381",,1 GB,t01
s002,Leti2026!!,s002@stud.etu.ru,Student 002,"students,5381",,1 GB,t01
s003,Leti2026!!,s003@stud.etu.ru,Student 003,"students,5381",,1 GB,t01
s004,Leti2026!!,s004@stud.etu.ru,Student 004,"students,5381",,1 GB,t01
s005,Leti2026!!,s005@stud.etu.ru,Student 005,"students,5381",,1 GB,t01
s006,Leti2026!!,s006@stud.etu.ru,Student 006,"students,5381",,1 GB,t01
s007,Leti2026!!,s007@stud.etu.ru,Student 007,"students,5381",,1 GB,t01
s008,Leti2026!!,s008@stud.etu.ru,Student 008,"students,5381",,1 GB,t01
s009,Leti2026!!,s009@stud.etu.ru,Student 009,"students,5381",,1 GB,t01
s010,Leti2026!!,s010@stud.etu.ru,Student 010,"students,5381",,1 GB,t01
s011,Leti2026!!,s011@stud.etu.ru,Student 011,"students,5381",,1 GB,t01
s012,Leti2026!!,s012@stud.etu.ru,Student 012,"students,5381",,1 GB,t01
s013,Leti2026!!,s013@stud.etu.ru,Student 013,"students,5381",,1 GB,t01
s014,Leti2026!!,s014@stud.etu.ru,Student 014,"students,5381",,1 GB,t01
s015,Leti2026!!,s015@stud.etu.ru,Student 015,"students,5381",,1 GB,t01
s016,Leti2026!!,s016@stud.etu.ru,Student 016,"students,5381",,1 GB,t01
s017,Leti2026!!,s017@stud.etu.ru,Student 017,"students,5381",,1 GB,t01
s018,Leti2026!!,s018@stud.etu.ru,Student 018,"students,5381",,1 GB,t01
s019,Leti2026!!,s019@stud.etu.ru,Student 019,"students,5381",,1 GB,t01
s020,Leti2026!!,s020@stud.etu.ru,Student 020,"students,5381",,1 GB,t01
s021,Leti2026!!,s021@stud.etu.ru,Student 021,"students,5381",,1 GB,t01
s022,Leti2026!!,s022@stud.etu.ru,Student 022,"students,5381",,1 GB,t01
s023,Leti2026!!,s023@stud.etu.ru,Student 023,"students,5381",,1 GB,t01
s024,Leti2026!!,s024@stud.etu.ru,Student 024,"students,5381",,1 GB,t01
s025,Leti2026!!,s025@stud.etu.ru,Student 025,"students,5382",,1 GB,t02
s026,Leti2026!!,s026@stud.etu.ru,Student 026,"students,5382",,1 GB,t02
s027,Leti2026!!,s027@stud.etu.ru,Student 027,"students,5382",,1 GB,t02
s028,Leti2026!!,s028@stud.etu.ru,Student 028,"students,5382",,1 GB,t02
s029,Leti2026!!,s029@stud.etu.ru,Student 029,"students,5382",,1 GB,t02
s030,Leti2026!!,s030@stud.etu.ru,Student 030,"students,5382",,1 GB,t02
s031,Leti2026!!,s031@stud.etu.ru,Student 031,"students,5382",,1 GB,t02
s032,Leti2026!!,s032@stud.etu.ru,Student 032,"students,5382",,1 GB,t02
s033,Leti2026!!,s033@stud.etu.ru,Student 033,"students,5382",,1 GB,t02
s034,Leti2026!!,s034@stud.etu.ru,Student 034,"students,5382",,1 GB,t02
s035,Leti2026!!,s035@stud.etu.ru,Student 035,"students,5382",,1 GB,t02
s036,Leti2026!!,s036@stud.etu.ru,Student 036,"students,5382",,1 GB,t02
s037,Leti2026!!,s037@stud.etu.ru,Student 037,"students,5382",,1 GB,t02
s038,Leti2026!!,s038@stud.etu.ru,Student 038,"students,5382",,1 GB,t02
s039,Leti2026!!,s039@stud.etu.ru,Student 039,"students,5382",,1 GB,t02
s040,Leti2026!!,s040@stud.etu.ru,Student 040,"students,5382",,1 GB,t02
s041,Leti2026!!,s041@stud.etu.ru,Student 041,"students,5382",,1 GB,t02
s042,Leti2026!!,s042@stud.etu.ru,Student 042,"students,5382",,1 GB,t02
s043,Leti2026!!,s043@stud.etu.ru,Student 043,"students,5382",,1 GB,t02
s044,Leti2026!!,s044@stud.etu.ru,Student 044,"students,5382",,1 GB,t02
s045,Leti2026!!,s045@stud.etu.ru,Student 045,"students,5382",,1 GB,t02
s046,Leti2026!!,s046@stud.etu.ru,Student 046,"students,5382",,1 GB,t02
s047,Leti2026!!,s047@stud.etu.ru,Student 047,"students,5382",,1 GB,t02
s048,Leti2026!!,s048@stud.etu.ru,Student 048,"students,5382",,1 GB,t02
s049,Leti2026!!,s049@stud.etu.ru,Student 049,"students,5383",,1 GB,t03
s050,Leti2026!!,s050@stud.etu.ru,Student 050,"students,5383",,1 GB,t03
s051,Leti2026!!,s051@stud.etu.ru,Student 051,"students,5383",,1 GB,t03
s052,Leti2026!!,s052@stud.etu.ru,Student 052,"students,5383",,1 GB,t03
s053,Leti2026!!,s053@stud.etu.ru,Student 053,"students,5383",,1 GB,t03
s054,Leti2026!!,s054@stud.etu.ru,Student 054,"students,5383",,1 GB,t03
s055,Leti2026!!,s055@stud.etu.ru,Student 055,"students,5383",,1 GB,t03
s056,Leti2026!!,s056@stud.etu.ru,Student 056,"students,5383",,1 GB,t03
s057,Leti2026!!,s057@stud.etu.ru,Student 057,"students,5383",,1 GB,t03
s058,Leti2026!!,s058@stud.etu.ru,Student 058,"students,5383",,1 GB,t03
s059,Leti2026!!,s059@stud.etu.ru,Student 059,"students,5383",,1 GB,t03
s060,Leti2026!!,s060@stud.etu.ru,Student 060,"students,5383",,1 GB,t03
s061,Leti2026!!,s061@stud.etu.ru,Student 061,"students,5383",,1 GB,t03
s062,Leti2026!!,s062@stud.etu.ru,Student 062,"students,5383",,1 GB,t03
s063,Leti2026!!,s063@stud.etu.ru,Student 063,"students,5383",,1 GB,t03
s064,Leti2026!!,s064@stud.etu.ru,Student 064,"students,5383",,1 GB,t03
s065,Leti2026!!,s065@stud.etu.ru,Student 065,"students,5383",,1 GB,t03
s066,Leti2026!!,s066@stud.etu.ru,Student 066,"students,5383",,1 GB,t03
s067,Leti2026!!,s067@stud.etu.ru,Student 067,"students,5383",,1 GB,t03
s068,Leti2026!!,s068@stud.etu.ru,Student 068,"students,5383",,1 GB,t03
s069,Leti2026!!,s069@stud.etu.ru,Student 069,"students,5383",,1 GB,t03
s070,Leti2026!!,s070@stud.etu.ru,Student 070,"students,5383",,1 GB,t03
s071,Leti2026!!,s071@stud.etu.ru,Student 071,"students,5383",,1 GB,t03
s072,Leti2026!!,s072@stud.etu.ru,Student 072,"students,5391",,1 GB,t04
s073,Leti2026!!,s073@stud.etu.ru,Student 073,"students,5391",,1 GB,t04
s074,Leti2026!!,s074@stud.etu.ru,Student 074,"students,5391",,1 GB,t04
s075,Leti2026!!,s075@stud.etu.ru,Student 075,"students,5391",,1 GB,t04
s076,Leti2026!!,s076@stud.etu.ru,Student 076,"students,5391",,1 GB,t04
s077,Leti2026!!,s077@stud.etu.ru,Student 077,"students,5391",,1 GB,t04
s078,Leti2026!!,s078@stud.etu.ru,Student 078,"students,5391",,1 GB,t04
s079,Leti2026!!,s079@stud.etu.ru,Student 079,"students,5391",,1 GB,t04
s080,Leti2026!!,s080@stud.etu.ru,Student 080,"students,5391",,1 GB,t04
s081,Leti2026!!,s081@stud.etu.ru,Student 081,"students,5391",,1 GB,t04
s082,Leti2026!!,s082@stud.etu.ru,Student 082,"students,5391",,1 GB,t04
s083,Leti2026!!,s083@stud.etu.ru,Student 083,"students,5391",,1 GB,t04
s084,Leti2026!!,s084@stud.etu.ru,Student 084,"students,5391",,1 GB,t04
s085,Leti2026!!,s085@stud.etu.ru,Student 085,"students,5391",,1 GB,t04
s086,Leti2026!!,s086@stud.etu.ru,Student 086,"students,5391",,1 GB,t04
s087,Leti2026!!,s087@stud.etu.ru,Student 087,"students,5391",,1 GB,t04
s088,Leti2026!!,s088@stud.etu.ru,Student 088,"students,5391",,1 GB,t04
s089,Leti2026!!,s089@stud.etu.ru,Student 089,"students,5391",,1 GB,t04
s090,Leti2026!!,s090@stud.etu.ru,Student 090,"students,5391",,1 GB,t04
s091,Leti2026!!,s091@stud.etu.ru,Student 091,"students,5391",,1 GB,t04
s092,Leti2026!!,s092@stud.etu.ru,Student 092,"students,5391",,1 GB,t04
s093,Leti2026!!,s093@stud.etu.ru,Student 093,"students,5391",,1 GB,t04
s094,Leti2026!!,s094@stud.etu.ru,Student 094,"students,5391",,1 GB,t04
s095,Leti2026!!,s095@stud.etu.ru,Student 095,"students,5392",,1 GB,t05
s096,Leti2026!!,s096@stud.etu.ru,Student 096,"students,5392",,1 GB,t05
s097,Leti2026!!,s097@stud.etu.ru,Student 097,"students,5392",,1 GB,t05
s098,Leti2026!!,s098@stud.etu.ru,Student 098,"students,5392",,1 GB,t05
s099,Leti2026!!,s099@stud.etu.ru,Student 099,"students,5392",,1 GB,t05
s100,Leti2026!!,s100@stud.etu.ru,Student 100,"students,5392",,1 GB,t05
s101,Leti2026!!,s101@stud.etu.ru,Student 101,"students,5392",,1 GB,t05
s102,Leti2026!!,s102@stud.etu.ru,Student 102,"students,5392",,1 GB,t05
s103,Leti2026!!,s103@stud.etu.ru,Student 103,"students,5392",,1 GB,t05
s104,Leti2026!!,s104@stud.etu.ru,Student 104,"students,5392",,1 GB,t05
s105,Leti2026!!,s105@stud.etu.ru,Student 105,"students,5392",,1 GB,t05
s106,Leti2026!!,s106@stud.etu.ru,Student 106,"students,5392",,1 GB,t05
s107,Leti2026!!,s107@stud.etu.ru,Student 107,"students,5392",,1 GB,t05
s108,Leti2026!!,s108@stud.etu.ru,Student 108,"students,5392",,1 GB,t05
s109,Leti2026!!,s109@stud.etu.ru,Student 109,"students,5392",,1 GB,t05
s110,Leti2026!!,s110@stud.etu.ru,Student 110,"students,5392",,1 GB,t05
s111,Leti2026!!,s111@stud.etu.ru,Student 111,"students,5392",,1 GB,t05
s112,Leti2026!!,s112@stud.etu.ru,Student 112,"students,5392",,1 GB,t05
s113,Leti2026!!,s113@stud.etu.ru,Student 113,"students,5392",,1 GB,t05
s114,Leti2026!!,s114@stud.etu.ru,Student 114,"students,5392",,1 GB,t05
s115,Leti2026!!,s115@stud.etu.ru,Student 115,"students,5392",,1 GB,t05
s116,Leti2026!!,s116@stud.etu.ru,Student 116,"students,5392",,1 GB,t05
s117,Leti2026!!,s117@stud.etu.ru,Student 117,"students,5392",,1 GB,t05
s118,Leti2026!!,s118@stud.etu.ru,Student 118,"students,4381",,1 GB,t06
s119,Leti2026!!,s119@stud.etu.ru,Student 119,"students,4381",,1 GB,t06
s120,Leti2026!!,s120@stud.etu.ru,Student 120,"students,4381",,1 GB,t06
s121,Leti2026!!,s121@stud.etu.ru,Student 121,"students,4381",,1 GB,t06
s122,Leti2026!!,s122@stud.etu.ru,Student 122,"students,4381",,1 GB,t06
s123,Leti2026!!,s123@stud.etu.ru,Student 123,"students,4381",,1 GB,t06
s124,Leti2026!!,s124@stud.etu.ru,Student 124,"students,4381",,1 GB,t06
s125,Leti2026!!,s125@stud.etu.ru,Student 125,"students,4381",,1 GB,t06
s126,Leti2026!!,s126@stud.etu.ru,Student 126,"students,4381",,1 GB,t06
s127,Leti2026!!,s127@stud.etu.ru,Student 127,"students,4381",,1 GB,t06
s128,Leti2026!!,s128@stud.etu.ru,Student 128,"students,4381",,1 GB,t06
s129,Leti2026!!,s129@stud.etu.ru,Student 129,"students,4381",,1 GB,t06
s130,Leti2026!!,s130@stud.etu.ru,Student 130,"students,4381",,1 GB,t06
s131,Leti2026!!,s131@stud.etu.ru,Student 131,"students,4381",,1 GB,t06
s132,Leti2026!!,s132@stud.etu.ru,Student 132,"students,4381",,1 GB,t06
s133,Leti2026!!,s133@stud.etu.ru,Student 133,"students,4381",,1 GB,t06
s134,Leti2026!!,s134@stud.etu.ru,Student 134,"students,4381",,1 GB,t06
s135,Leti2026!!,s135@stud.etu.ru,Student 135,"students,4381",,1 GB,t06
s136,Leti2026!!,s136@stud.etu.ru,Student 136,"students,4381",,1 GB,t06
s137,Leti2026!!,s137@stud.etu.ru,Student 137,"students,4381",,1 GB,t06
s138,Leti2026!!,s138@stud.etu.ru,Student 138,"students,4381",,1 GB,t06
s139,Leti2026!!,s139@stud.etu.ru,Student 139,"students,4381",,1 GB,t06
s140,Leti2026!!,s140@stud.etu.ru,Student 140,"students,4381",,1 GB,t06
s141,Leti2026!!,s141@stud.etu.ru,Student 141,"students,4381",,1 GB,t06
s142,Leti2026!!,s142@stud.etu.ru,Student 142,"students,4382",,1 GB,t07
s143,Leti2026!!,s143@stud.etu.ru,Student 143,"students,4382",,1 GB,t07
s144,Leti2026!!,s144@stud.etu.ru,Student 144,"students,4382",,1 GB,t07
s145,Leti2026!!,s145@stud.etu.ru,Student 145,"students,4382",,1 GB,t07
s146,Leti2026!!,s146@stud.etu.ru,Student 146,"students,4382",,1 GB,t07
s147,Leti2026!!,s147@stud.etu.ru,Student 147,"students,4382",,1 GB,t07
s148,Leti2026!!,s148@stud.etu.ru,Student 148,"students,4382",,1 GB,t07
s149,Leti2026!!,s149@stud.etu.ru,Student 149,"students,4382",,1 GB,t07
s150,Leti2026!!,s150@stud.etu.ru,Student 150,"students,4382",,1 GB,t07
s151,Leti2026!!,s151@stud.etu.ru,Student 151,"students,4382",,1 GB,t07
s152,Leti2026!!,s152@stud.etu.ru,Student 152,"students,4382",,1 GB,t07
s153,Leti2026!!,s153@stud.etu.ru,Student 153,"students,4382",,1 GB,t07
s154,Leti2026!!,s154@stud.etu.ru,Student 154,"students,4382",,1 GB,t07
s155,Leti2026!!,s155@stud.etu.ru,Student 155,"students,4382",,1 GB,t07
s156,Leti2026!!,s156@stud.etu.ru,Student 156,"students,4382",,1 GB,t07
s157,Leti2026!!,s157@stud.etu.ru,Student 157,"students,4382",,1 GB,t07
s158,Leti2026!!,s158@stud.etu.ru,Student 158,"students,4382",,1 GB,t07
s159,Leti2026!!,s159@stud.etu.ru,Student 159,"students,4382",,1 GB,t07
s160,Leti2026!!,s160@stud.etu.ru,Student 160,"students,4382",,1 GB,t07
s161,Leti2026!!,s161@stud.etu.ru,Student 161,"students,4382",,1 GB,t07
s162,Leti2026!!,s162@stud.etu.ru,Student 162,"students,4382",,1 GB,t07
s163,Leti2026!!,s163@stud.etu.ru,Student 163,"students,4382",,1 GB,t07
s164,Leti2026!!,s164@stud.etu.ru,Student 164,"students,4382",,1 GB,t07
s165,Leti2026!!,s165@stud.etu.ru,Student 165,"students,4383",,1 GB,t08
s166,Leti2026!!,s166@stud.etu.ru,Student 166,"students,4383",,1 GB,t08
s167,Leti2026!!,s167@stud.etu.ru,Student 167,"students,4383",,1 GB,t08
s168,Leti2026!!,s168@stud.etu.ru,Student 168,"students,4383",,1 GB,t08
s169,Leti2026!!,s169@stud.etu.ru,Student 169,"students,4383",,1 GB,t08
s170,Leti2026!!,s170@stud.etu.ru,Student 170,"students,4383",,1 GB,t08
s171,Leti2026!!,s171@stud.etu.ru,Student 171,"students,4383",,1 GB,t08
s172,Leti2026!!,s172@stud.etu.ru,Student 172,"students,4383",,1 GB,t08
s173,Leti2026!!,s173@stud.etu.ru,Student 173,"students,4383",,1 GB,t08
s174,Leti2026!!,s174@stud.etu.ru,Student 174,"students,4383",,1 GB,t08
s175,Leti2026!!,s175@stud.etu.ru,Student 175,"students,4383",,1 GB,t08
s176,Leti2026!!,s176@stud.etu.ru,Student 176,"students,4383",,1 GB,t08
s177,Leti2026!!,s177@stud.etu.ru,Student 177,"students,4383",,1 GB,t08
s178,Leti2026!!,s178@stud.etu.ru,Student 178,"students,4383",,1 GB,t08
s179,Leti2026!!,s179@stud.etu.ru,Student 179,"students,4383",,1 GB,t08
s180,Leti2026!!,s180@stud.etu.ru,Student 180,"students,4383",,1 GB,t08
s181,Leti2026!!,s181@stud.etu.ru,Student 181,"students,4383",,1 GB,t08
s182,Leti2026!!,s182@stud.etu.ru,Student 182,"students,4383",,1 GB,t08
s183,Leti2026!!,s183@stud.etu.ru,Student 183,"students,4383",,1 GB,t08
s184,Leti2026!!,s184@stud.etu.ru,Student 184,"students,4383",,1 GB,t08
s185,Leti2026!!,s185@stud.etu.ru,Student 185,"students,4383",,1 GB,t08
s186,Leti2026!!,s186@stud.etu.ru,Student 186,"students,4383",,1 GB,t08
s187,Leti2026!!,s187@stud.etu.ru,Student 187,"students,4383",,1 GB,t08
s188,Leti2026!!,s188@stud.etu.ru,Student 188,"students,4391",,1 GB,t09
s189,Leti2026!!,s189@stud.etu.ru,Student 189,"students,4391",,1 GB,t09
s190,Leti2026!!,s190@stud.etu.ru,Student 190,"students,4391",,1 GB,t09
s191,Leti2026!!,s191@stud.etu.ru,Student 191,"students,4391",,1 GB,t09
s192,Leti2026!!,s192@stud.etu.ru,Student 192,"students,4391",,1 GB,t09
s193,Leti2026!!,s193@stud.etu.ru,Student 193,"students,4391",,1 GB,t09
s194,Leti2026!!,s194@stud.etu.ru,Student 194,"students,4391",,1 GB,t09
s195,Leti2026!!,s195@stud.etu.ru,Student 195,"students,4391",,1 GB,t09
s196,Leti2026!!,s196@stud.etu.ru,Student 196,"students,4391",,1 GB,t09
s197,Leti2026!!,s197@stud.etu.ru,Student 197,"students,4391",,1 GB,t09
s198,Leti2026!!,s198@stud.etu.ru,Student 198,"students,4391",,1 GB,t09
s199,Leti2026!!,s199@stud.etu.ru,Student 199,"students,4391",,1 GB,t09
s200,Leti2026!!,s200@stud.etu.ru,Student 200,"students,4391",,1 GB,t09
s201,Leti2026!!,s201@stud.etu.ru,Student 201,"students,4391",,1 GB,t09
s202,Leti2026!!,s202@stud.etu.ru,Student 202,"students,4391",,1 GB,t09
s203,Leti2026!!,s203@stud.etu.ru,Student 203,"students,4391",,1 GB,t09
s204,Leti2026!!,s204@stud.etu.ru,Student 204,"students,4391",,1 GB,t09
s205,Leti2026!!,s205@stud.etu.ru,Student 205,"students,4391",,1 GB,t09
s206,Leti2026!!,s206@stud.etu.ru,Student 206,"students,4391",,1 GB,t09
s207,Leti2026!!,s207@stud.etu.ru,Student 207,"students,4391",,1 GB,t09
s208,Leti2026!!,s208@stud.etu.ru,Student 208,"students,4391",,1 GB,t09
s209,Leti2026!!,s209@stud.etu.ru,Student 209,"students,4391",,1 GB,t09
s210,Leti2026!!,s210@stud.etu.ru,Student 210,"students,4391",,1 GB,t09
s211,Leti2026!!,s211@stud.etu.ru,Student 211,"students,3381",,1 GB,t10
s212,Leti2026!!,s212@stud.etu.ru,Student 212,"students,3381",,1 GB,t10
s213,Leti2026!!,s213@stud.etu.ru,Student 213,"students,3381",,1 GB,t10
s214,Leti2026!!,s214@stud.etu.ru,Student 214,"students,3381",,1 GB,t10
s215,Leti2026!!,s215@stud.etu.ru,Student 215,"students,3381",,1 GB,t10
s216,Leti2026!!,s216@stud.etu.ru,Student 216,"students,3381",,1 GB,t10
s217,Leti2026!!,s217@stud.etu.ru,Student 217,"students,3381",,1 GB,t10
s218,Leti2026!!,s218@stud.etu.ru,Student 218,"students,3381",,1 GB,t10
s219,Leti2026!!,s219@stud.etu.ru,Student 219,"students,3381",,1 GB,t10
s220,Leti2026!!,s220@stud.etu.ru,Student 220,"students,3381",,1 GB,t10
s221,Leti2026!!,s221@stud.etu.ru,Student 221,"students,3381",,1 GB,t10
s222,Leti2026!!,s222@stud.etu.ru,Student 222,"students,3381",,1 GB,t10
s223,Leti2026!!,s223@stud.etu.ru,Student 223,"students,3381",,1 GB,t10
s224,Leti2026!!,s224@stud.etu.ru,Student 224,"students,3381",,1 GB,t10
s225,Leti2026!!,s225@stud.etu.ru,Student 225,"students,3381",,1 GB,t10
s226,Leti2026!!,s226@stud.etu.ru,Student 226,"students,3381",,1 GB,t10
s227,Leti2026!!,s227@stud.etu.ru,Student 227,"students,3381",,1 GB,t10
s228,Leti2026!!,s228@stud.etu.ru,Student 228,"students,3381",,1 GB,t10
s229,Leti2026!!,s229@stud.etu.ru,Student 229,"students,3381",,1 GB,t10
s230,Leti2026!!,s230@stud.etu.ru,Student 230,"students,3381",,1 GB,t10
s231,Leti2026!!,s231@stud.etu.ru,Student 231,"students,3381",,1 GB,t10
s232,Leti2026!!,s232@stud.etu.ru,Student 232,"students,3381",,1 GB,t10
s233,Leti2026!!,s233@stud.etu.ru,Student 233,"students,3381",,1 GB,t10
s234,Leti2026!!,s234@stud.etu.ru,Student 234,"students,3381",,1 GB,t10
s235,Leti2026!!,s235@stud.etu.ru,Student 235,"students,3382",,1 GB,t11
s236,Leti2026!!,s236@stud.etu.ru,Student 236,"students,3382",,1 GB,t11
s237,Leti2026!!,s237@stud.etu.ru,Student 237,"students,3382",,1 GB,t11
s238,Leti2026!!,s238@stud.etu.ru,Student 238,"students,3382",,1 GB,t11
s239,Leti2026!!,s239@stud.etu.ru,Student 239,"students,3382",,1 GB,t11
s240,Leti2026!!,s240@stud.etu.ru,Student 240,"students,3382",,1 GB,t11
s241,Leti2026!!,s241@stud.etu.ru,Student 241,"students,3382",,1 GB,t11
s242,Leti2026!!,s242@stud.etu.ru,Student 242,"students,3382",,1 GB,t11
s243,Leti2026!!,s243@stud.etu.ru,Student 243,"students,3382",,1 GB,t11
s244,Leti2026!!,s244@stud.etu.ru,Student 244,"students,3382",,1 GB,t11
s245,Leti2026!!,s245@stud.etu.ru,Student 245,"students,3382",,1 GB,t11
s246,Leti2026!!,s246@stud.etu.ru,Student 246,"students,3382",,1 GB,t11
s247,Leti2026!!,s247@stud.etu.ru,Student 247,"students,3382",,1 GB,t11
s248,Leti2026!!,s248@stud.etu.ru,Student 248,"students,3382",,1 GB,t11
s249,Leti2026!!,s249@stud.etu.ru,Student 249,"students,3382",,1 GB,t11
s250,Leti2026!!,s250@stud.etu.ru,Student 250,"students,3382",,1 GB,t11
s251,Leti2026!!,s251@stud.etu.ru,Student 251,"students,3382",,1 GB,t11
s252,Leti2026!!,s252@stud.etu.ru,Student 252,"students,3382",,1 GB,t11
s253,Leti2026!!,s253@stud.etu.ru,Student 253,"students,3382",,1 GB,t11
s254,Leti2026!!,s254@stud.etu.ru,Student 254,"students,3382",,1 GB,t11
s255,Leti2026!!,s255@stud.etu.ru,Student 255,"students,3382",,1 GB,t11
s256,Leti2026!!,s256@stud.etu.ru,Student 256,"students,3382",,1 GB,t11
s257,Leti2026!!,s257@stud.etu.ru,Student 257,"students,3382",,1 GB,t11
s258,Leti2026!!,s258@stud.etu.ru,Student 258,"students,3383",,1 GB,t12
s259,Leti2026!!,s259@stud.etu.ru,Student 259,"students,3383",,1 GB,t12
s260,Leti2026!!,s260@stud.etu.ru,Student 260,"students,3383",,1 GB,t12
s261,Leti2026!!,s261@stud.etu.ru,Student 261,"students,3383",,1 GB,t12
s262,Leti2026!!,s262@stud.etu.ru,Student 262,"students,3383",,1 GB,t12
s263,Leti2026!!,s263@stud.etu.ru,Student 263,"students,3383",,1 GB,t12
s264,Leti2026!!,s264@stud.etu.ru,Student 264,"students,3383",,1 GB,t12
s265,Leti2026!!,s265@stud.etu.ru,Student 265,"students,3383",,1 GB,t12
s266,Leti2026!!,s266@stud.etu.ru,Student 266,"students,3383",,1 GB,t12
s267,Leti2026!!,s267@stud.etu.ru,Student 267,"students,3383",,1 GB,t12
s268,Leti2026!!,s268@stud.etu.ru,Student 268,"students,3383",,1 GB,t12
s269,Leti2026!!,s269@stud.etu.ru,Student 269,"students,3383",,1 GB,t12
s270,Leti2026!!,s270@stud.etu.ru,Student 270,"students,3383",,1 GB,t12
s271,Leti2026!!,s271@stud.etu.ru,Student 271,"students,3383",,1 GB,t12
s272,Leti2026!!,s272@stud.etu.ru,Student 272,"students,3383",,1 GB,t12
s273,Leti2026!!,s273@stud.etu.ru,Student 273,"students,3383",,1 GB,t12
s274,Leti2026!!,s274@stud.etu.ru,Student 274,"students,3383",,1 GB,t12
s275,Leti2026!!,s275@stud.etu.ru,Student 275,"students,3383",,1 GB,t12
s276,Leti2026!!,s276@stud.etu.ru,Student 276,"students,3383",,1 GB,t12
